Date,Open,High,Low,Close,Adj Close,Volume,dIndex,logClose,rtnClose,vol,vol_1,vol_ma_5,vol_ma_21
12/12/13,1781.709961,1782.98999,1772.280029,1775.5,1775.5,3306640000,-6.209961,7.481837352,-0.003777689,1.31E-05,5.88E-05,2.24E-05,1.95E-05
12/13/13,1777.97998,1780.920044,1772.449951,1775.319946,1775.319946,3061070000,-2.660034,7.481735937,-0.000101415,8.20E-06,1.31E-05,2.30E-05,1.96E-05
12/16/13,1777.47998,1792.219971,1777.47998,1786.540039,1786.540039,3209890000,9.060059,7.488036089,0.006300152,2.46E-05,8.20E-06,1.77E-05,1.75E-05
12/17/13,1786.469971,1786.77002,1777.050049,1781,1781,3270030000,-5.469971,7.484930283,-0.003105806,1.07E-05,2.46E-05,2.20E-05,1.80E-05
12/18/13,1781.459961,1811.079956,1767.98999,1810.650024,1810.650024,4327770000,29.190063,7.501441189,0.016510906,0.000209136,1.07E-05,2.31E-05,1.82E-05
12/19/13,1809,1810.880005,1801.349976,1809.599976,1809.599976,3497210000,0.599976,7.500861092,-0.000580097,1.00E-05,0.000209136,5.32E-05,2.70E-05
12/20/13,1810.390015,1823.75,1810.25,1818.319946,1818.319946,5097700000,7.929931,7.505668247,0.004807155,1.99E-05,1.00E-05,5.25E-05,2.69E-05
12/23/13,1822.920044,1829.75,1822.920044,1827.98999,1827.98999,2851540000,5.069946,7.510972276,0.005304029,5.04E-06,1.99E-05,5.49E-05,2.60E-05
12/24/13,1828.02002,1833.319946,1828.02002,1833.319946,1833.319946,1307630000,5.299926,7.51388378,0.002911504,3.02E-06,5.04E-06,5.10E-05,2.52E-05
12/26/13,1834.959961,1842.839966,1834.959961,1842.02002,1842.02002,1982270000,7.060059,7.518618085,0.004734305,6.62E-06,3.02E-06,4.94E-05,2.48E-05
12/27/13,1842.969971,1844.890015,1839.810059,1841.400024,1841.400024,2052920000,-1.569947,7.518281444,-0.000336641,2.74E-06,6.62E-06,8.93E-06,2.49E-05
12/30/13,1841.469971,1842.469971,1838.77002,1841.069946,1841.069946,2293860000,-0.400025,7.518102174,-0.00017927,1.46E-06,2.74E-06,7.47E-06,2.47E-05
12/31/13,1842.609985,1849.439941,1842.410034,1848.359985,1848.359985,2312840000,5.75,7.52205403,0.003951856,5.23E-06,1.46E-06,3.78E-06,2.46E-05
1/02/14,1845.859985,1845.859985,1827.73999,1831.97998,1831.97998,3080600000,-13.880005,7.513152617,-0.008901413,3.51E-05,5.23E-06,3.82E-06,2.44E-05
1/03/14,1833.209961,1838.23999,1829.130005,1831.369995,1831.369995,2774270000,-1.839966,7.512819597,-0.00033302,8.90E-06,3.51E-05,1.02E-05,2.53E-05
1/06/14,1832.310059,1837.160034,1823.72998,1826.77002,1826.77002,3294850000,-5.540039,7.51030467,-0.002514927,1.94E-05,8.90E-06,1.07E-05,2.50E-05
